ingredient_clean,true_manufacturer_count
CLEMASTINE FUMARATE,2
CLEVIDIPINE,1
CLINDAMYCIN HYDROCHLORIDE,8
CLINDAMYCIN PALMITATE HYDROCHLORIDE,7
CLINDAMYCIN PHOSPHATE,24
CLINDAMYCIN PHOSPHATE;TRETINOIN,5
CLOBAZAM,16
CLOBETASOL PROPIONATE,28
CLOCORTOLONE PIVALATE,2
CLOFARABINE,8
CLOMIPHENE CITRATE,6
CLOMIPRAMINE HYDROCHLORIDE,14
CLONAZEPAM,12
CLONIDINE,5
CLONIDINE HYDROCHLORIDE,23
CLOPIDOGREL BISULFATE,16
CLORAZEPATE DIPOTASSIUM,5
CLOTRIMAZOLE,12
CLOZAPINE,7
COBICISTAT,1
COBICISTAT;DARUNAVIR ETHANOLATE,1
COBICISTAT;DARUNAVIR;EMTRICITABINE;TENOFOVIR ALAFENAMIDE FUMARATE,1
COBICISTAT;ELVITEGRAVIR;EMTRICITABINE;TENOFOVIR ALAFENAMIDE FUMARATE,1
COBICISTAT;ELVITEGRAVIR;EMTRICITABINE;TENOFOVIR DISOPROXIL FUMARATE,1
COBIMETINIB FUMARATE,1
COCAINE HYDROCHLORIDE,2
CODEINE PHOSPHATE;PHENYLEPHRINE HYDROCHLORIDE;PROMETHAZINE HYDROCHLORIDE,2
CODEINE PHOSPHATE;PROMETHAZINE HYDROCHLORIDE,5
CODEINE PHOSPHATE;PSEUDOEPHEDRINE HYDROCHLORIDE;TRIPROLIDINE HYDROCHLORIDE,1
CODEINE SULFATE,2
COLCHICINE,17
COLCHICINE;PROBENECID,3
COLESEVELAM HYDROCHLORIDE,10
COLESTIPOL HYDROCHLORIDE,7
COLISTIMETHATE SODIUM,5
COLISTIN SULFATE;HYDROCORTISONE ACETATE;NEOMYCIN SULFATE;THONZONIUM BROMIDE,1
CONIVAPTAN HYDROCHLORIDE,1
COPPER,2
COPPER CU-64 DOTATATE,1
COPPER HISTIDINATE,1
CORTICOTROPIN,2
COSYNTROPIN,2
CRINECERFONT,1
CRISABOROLE,1
CRIZOTINIB,1
CROFELEMER,1
CROMOLYN SODIUM,10
CROTAMITON,2
CUPRIC CHLORIDE,5
CUPRIC SULFATE,1
CUPRIC SULFATE;MANGANESE SULFATE;SELENIOUS ACID;ZINC SULFATE,1
CYANOCOBALAMIN,16
CYCLOBENZAPRINE HYDROCHLORIDE,17
CYCLOPENTOLATE HYDROCHLORIDE,3
CYCLOPENTOLATE HYDROCHLORIDE;PHENYLEPHRINE HYDROCHLORIDE,1
CYCLOPHOSPHAMIDE,18
CYCLOSERINE,1
CYCLOSPORINE,18
CYPROHEPTADINE HYDROCHLORIDE,12
CYSTEAMINE BITARTRATE,2
CYSTEAMINE HYDROCHLORIDE,2
CYSTEINE HYDROCHLORIDE,1
CYTARABINE,7
CYTARABINE;DAUNORUBICIN,1
DABIGATRAN ETEXILATE MESYLATE,9
DABRAFENIB MESYLATE,1
DACARBAZINE,3
DACOMITINIB,1
DACTINOMYCIN,4
